,Symbols,Description
4830,Disaster_Lithuania_Industrial accident,Number of Industrial accident type Disasters in the country Lithuania
4831,DIS.LTU.MIS,Number of Miscellaneous accident type Disasters in the country Lithuania
4832,Disaster_Lithuania_Biological,Number of Biological type Disasters in the country Lithuania
4833,DIS.LTU.CLI,Number of Climatological type Disasters in the country Lithuania
4834,DIS.CPV.HYD,Number of Hydrological type Disasters in the country Cabo Verde
4835,DIS.CPV.MET,Number of Meteorological type Disasters in the country Cabo Verde
4836,DIS.CPV.GEO,Number of Geophysical type Disasters in the country Cabo Verde
4837,DIS.CPV.TRA,Number of Transport type Disasters in the country Cabo Verde
4838,Disaster_Cabo Verde_Industrial accident,Number of Industrial accident type Disasters in the country Cabo Verde
4839,Disaster_Cabo Verde_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Cabo Verde
4840,DIS.CPV.BIO,Number of Biological type Disasters in the country Cabo Verde
4841,DIS.CPV.CLI,Number of Climatological type Disasters in the country Cabo Verde
4842,DIS.ERI.HYD,Number of Hydrological type Disasters in the country Eritrea
4843,DIS.ERI.MET,Number of Meteorological type Disasters in the country Eritrea
4844,Disaster_Eritrea_Geophysical,Number of Geophysical type Disasters in the country Eritrea
4845,DIS.ERI.TRA,Number of Transport type Disasters in the country Eritrea
4846,Disaster_Eritrea_Industrial accident,Number of Industrial accident type Disasters in the country Eritrea
4847,Disaster_Eritrea_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Eritrea
4848,DIS.ERI.BIO,Number of Biological type Disasters in the country Eritrea
4849,DIS.ERI.CLI,Number of Climatological type Disasters in the country Eritrea
4850,DIS.KAZ.HYD,Number of Hydrological type Disasters in the country Kazakhstan
4851,DIS.KAZ.MET,Number of Meteorological type Disasters in the country Kazakhstan
4852,DIS.KAZ.GEO,Number of Geophysical type Disasters in the country Kazakhstan
4853,DIS.KAZ.TRA,Number of Transport type Disasters in the country Kazakhstan
4854,DIS.KAZ.IND,Number of Industrial accident type Disasters in the country Kazakhstan
4855,DIS.KAZ.MIS,Number of Miscellaneous accident type Disasters in the country Kazakhstan
4856,DIS.KAZ.BIO,Number of Biological type Disasters in the country Kazakhstan
4857,DIS.KAZ.CLI,Number of Climatological type Disasters in the country Kazakhstan
4858,DIS.BLR.HYD,Number of Hydrological type Disasters in the country Belarus
4859,DIS.BLR.MET,Number of Meteorological type Disasters in the country Belarus
4860,Disaster_Belarus_Geophysical,Number of Geophysical type Disasters in the country Belarus
4861,Disaster_Belarus_Transport,Number of Transport type Disasters in the country Belarus
4862,Disaster_Belarus_Industrial accident,Number of Industrial accident type Disasters in the country Belarus
4863,DIS.BLR.MIS,Number of Miscellaneous accident type Disasters in the country Belarus
4864,DIS.BLR.BIO,Number of Biological type Disasters in the country Belarus
4865,Disaster_Belarus_Climatological,Number of Climatological type Disasters in the country Belarus
4866,DIS.MKD.HYD,Number of Hydrological type Disasters in the country North Macedonia
4867,DIS.MKD.MET,Number of Meteorological type Disasters in the country North Macedonia
4868,DIS.MKD.GEO,Number of Geophysical type Disasters in the country North Macedonia
4869,DIS.MKD.TRA,Number of Transport type Disasters in the country North Macedonia
4870,Disaster_North Macedonia_Industrial accident,Number of Industrial accident type Disasters in the country North Macedonia
4871,DIS.MKD.MIS,Number of Miscellaneous accident type Disasters in the country North Macedonia
4872,DIS.MKD.BIO,Number of Biological type Disasters in the country North Macedonia
4873,DIS.MKD.CLI,Number of Climatological type Disasters in the country North Macedonia
4874,Disaster_Wallis and Futuna Islands_Hydrological,Number of Hydrological type Disasters in the country Wallis and Futuna Islands
4875,DIS.WLF.MET,Number of Meteorological type Disasters in the country Wallis and Futuna Islands
4876,DIS.WLF.GEO,Number of Geophysical type Disasters in the country Wallis and Futuna Islands
4877,Disaster_Wallis and Futuna Islands_Transport,Number of Transport type Disasters in the country Wallis and Futuna Islands
4878,Disaster_Wallis and Futuna Islands_Industrial accident,Number of Industrial accident type Disasters in the country Wallis and Futuna Islands
4879,Disaster_Wallis and Futuna Islands_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Wallis and Futuna Islands
4880,Disaster_Wallis and Futuna Islands_Biological,Number of Biological type Disasters in the country Wallis and Futuna Islands
4881,Disaster_Wallis and Futuna Islands_Climatological,Number of Climatological type Disasters in the country Wallis and Futuna Islands
4882,DIS.ARE.HYD,Number of Hydrological type Disasters in the country United Arab Emirates
4883,Disaster_United Arab Emirates_Meteorological,Number of Meteorological type Disasters in the country United Arab Emirates
4884,Disaster_United Arab Emirates_Geophysical,Number of Geophysical type Disasters in the country United Arab Emirates
4885,DIS.ARE.TRA,Number of Transport type Disasters in the country United Arab Emirates
4886,DIS.ARE.IND,Number of Industrial accident type Disasters in the country United Arab Emirates
4887,DIS.ARE.MIS,Number of Miscellaneous accident type Disasters in the country United Arab Emirates
4888,Disaster_United Arab Emirates_Biological,Number of Biological type Disasters in the country United Arab Emirates
4889,Disaster_United Arab Emirates_Climatological,Number of Climatological type Disasters in the country United Arab Emirates
4890,"Disaster_China, Macao Special Administrative Region_Hydrological","Number of Hydrological type Disasters in the country China, Macao Special Administrative Region"
4891,DIS.MAC.MET,"Number of Meteorological type Disasters in the country China, Macao Special Administrative Region"
4892,"Disaster_China, Macao Special Administrative Region_Geophysical","Number of Geophysical type Disasters in the country China, Macao Special Administrative Region"
4893,DIS.MAC.TRA,"Number of Transport type Disasters in the country China, Macao Special Administrative Region"
4894,"Disaster_China, Macao Special Administrative Region_Industrial accident","Number of Industrial accident type Disasters in the country China, Macao Special Administrative Region"
4895,"Disaster_China, Macao Special Administrative Region_Miscellaneous accident","Number of Miscellaneous accident type Disasters in the country China, Macao Special Administrative Region"
4896,"Disaster_China, Macao Special Administrative Region_Biological","Number of Biological type Disasters in the country China, Macao Special Administrative Region"
4897,"Disaster_China, Macao Special Administrative Region_Climatological","Number of Climatological type Disasters in the country China, Macao Special Administrative Region"
4898,DIS.TKM.HYD,Number of Hydrological type Disasters in the country Turkmenistan
4899,Disaster_Turkmenistan_Meteorological,Number of Meteorological type Disasters in the country Turkmenistan
4900,DIS.TKM.GEO,Number of Geophysical type Disasters in the country Turkmenistan
4901,DIS.TKM.TRA,Number of Transport type Disasters in the country Turkmenistan
4902,Disaster_Turkmenistan_Industrial accident,Number of Industrial accident type Disasters in the country Turkmenistan
4903,DIS.TKM.MIS,Number of Miscellaneous accident type Disasters in the country Turkmenistan
4904,Disaster_Turkmenistan_Biological,Number of Biological type Disasters in the country Turkmenistan
4905,Disaster_Turkmenistan_Climatological,Number of Climatological type Disasters in the country Turkmenistan
4906,DIS.DJI.HYD,Number of Hydrological type Disasters in the country Djibouti
4907,DIS.DJI.MET,Number of Meteorological type Disasters in the country Djibouti
4908,Disaster_Djibouti_Geophysical,Number of Geophysical type Disasters in the country Djibouti
4909,DIS.DJI.TRA,Number of Transport type Disasters in the country Djibouti
4910,DIS.DJI.IND,Number of Industrial accident type Disasters in the country Djibouti
4911,Disaster_Djibouti_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Djibouti
4912,DIS.DJI.BIO,Number of Biological type Disasters in the country Djibouti
4913,DIS.DJI.CLI,Number of Climatological type Disasters in the country Djibouti
4914,DIS.MDA.HYD,Number of Hydrological type Disasters in the country Republic of Moldova
4915,DIS.MDA.MET,Number of Meteorological type Disasters in the country Republic of Moldova
4916,Disaster_Republic of Moldova_Geophysical,Number of Geophysical type Disasters in the country Republic of Moldova
4917,DIS.MDA.TRA,Number of Transport type Disasters in the country Republic of Moldova
4918,Disaster_Republic of Moldova_Industrial accident,Number of Industrial accident type Disasters in the country Republic of Moldova
4919,Disaster_Republic of Moldova_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Republic of Moldova
4920,DIS.MDA.BIO,Number of Biological type Disasters in the country Republic of Moldova
4921,DIS.MDA.CLI,Number of Climatological type Disasters in the country Republic of Moldova
4922,DIS.LCA.HYD,Number of Hydrological type Disasters in the country Saint Lucia
4923,DIS.LCA.MET,Number of Meteorological type Disasters in the country Saint Lucia
4924,DIS.LCA.GEO,Number of Geophysical type Disasters in the country Saint Lucia
4925,Disaster_Saint Lucia_Transport,Number of Transport type Disasters in the country Saint Lucia
4926,Disaster_Saint Lucia_Industrial accident,Number of Industrial accident type Disasters in the country Saint Lucia
4927,Disaster_Saint Lucia_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Saint Lucia
4928,DIS.LCA.BIO,Number of Biological type Disasters in the country Saint Lucia
4929,DIS.LCA.CLI,Number of Climatological type Disasters in the country Saint Lucia
4930,DIS.SYR.HYD,Number of Hydrological type Disasters in the country Syrian Arab Republic
4931,DIS.SYR.MET,Number of Meteorological type Disasters in the country Syrian Arab Republic
4932,DIS.SYR.GEO,Number of Geophysical type Disasters in the country Syrian Arab Republic
4933,DIS.SYR.TRA,Number of Transport type Disasters in the country Syrian Arab Republic
4934,DIS.SYR.IND,Number of Industrial accident type Disasters in the country Syrian Arab Republic
4935,DIS.SYR.MIS,Number of Miscellaneous accident type Disasters in the country Syrian Arab Republic
4936,DIS.SYR.BIO,Number of Biological type Disasters in the country Syrian Arab Republic
4937,DIS.SYR.CLI,Number of Climatological type Disasters in the country Syrian Arab Republic
4938,Disaster_Estonia_Hydrological,Number of Hydrological type Disasters in the country Estonia
4939,DIS.EST.MET,Number of Meteorological type Disasters in the country Estonia
4940,Disaster_Estonia_Geophysical,Number of Geophysical type Disasters in the country Estonia
4941,DIS.EST.TRA,Number of Transport type Disasters in the country Estonia
4942,Disaster_Estonia_Industrial accident,Number of Industrial accident type Disasters in the country Estonia
4943,DIS.EST.MIS,Number of Miscellaneous accident type Disasters in the country Estonia
4944,Disaster_Estonia_Biological,Number of Biological type Disasters in the country Estonia
4945,Disaster_Estonia_Climatological,Number of Climatological type Disasters in the country Estonia
4946,DIS.TGO.HYD,Number of Hydrological type Disasters in the country Togo
4947,Disaster_Togo_Meteorological,Number of Meteorological type Disasters in the country Togo
4948,Disaster_Togo_Geophysical,Number of Geophysical type Disasters in the country Togo
4949,DIS.TGO.TRA,Number of Transport type Disasters in the country Togo
4950,Disaster_Togo_Industrial accident,Number of Industrial accident type Disasters in the country Togo
4951,Disaster_Togo_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Togo
4952,DIS.TGO.BIO,Number of Biological type Disasters in the country Togo
4953,Disaster_Togo_Climatological,Number of Climatological type Disasters in the country Togo
4954,DIS.ISL.HYD,Number of Hydrological type Disasters in the country Iceland
4955,DIS.ISL.MET,Number of Meteorological type Disasters in the country Iceland
4956,DIS.ISL.GEO,Number of Geophysical type Disasters in the country Iceland
4957,Disaster_Iceland_Transport,Number of Transport type Disasters in the country Iceland
4958,Disaster_Iceland_Industrial accident,Number of Industrial accident type Disasters in the country Iceland
4959,Disaster_Iceland_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Iceland
4960,Disaster_Iceland_Biological,Number of Biological type Disasters in the country Iceland
4961,Disaster_Iceland_Climatological,Number of Climatological type Disasters in the country Iceland
4962,DIS.CZE.HYD,Number of Hydrological type Disasters in the country Czechia
4963,DIS.CZE.MET,Number of Meteorological type Disasters in the country Czechia
4964,Disaster_Czechia_Geophysical,Number of Geophysical type Disasters in the country Czechia
4965,DIS.CZE.TRA,Number of Transport type Disasters in the country Czechia
4966,DIS.CZE.IND,Number of Industrial accident type Disasters in the country Czechia
4967,DIS.CZE.MIS,Number of Miscellaneous accident type Disasters in the country Czechia
4968,Disaster_Czechia_Biological,Number of Biological type Disasters in the country Czechia
4969,Disaster_Czechia_Climatological,Number of Climatological type Disasters in the country Czechia
4970,DIS.GUY.HYD,Number of Hydrological type Disasters in the country Guyana
4971,Disaster_Guyana_Meteorological,Number of Meteorological type Disasters in the country Guyana
4972,Disaster_Guyana_Geophysical,Number of Geophysical type Disasters in the country Guyana
4973,Disaster_Guyana_Transport,Number of Transport type Disasters in the country Guyana
4974,DIS.GUY.IND,Number of Industrial accident type Disasters in the country Guyana
4975,Disaster_Guyana_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Guyana
4976,Disaster_Guyana_Biological,Number of Biological type Disasters in the country Guyana
4977,DIS.GUY.CLI,Number of Climatological type Disasters in the country Guyana
4978,Disaster_United States Virgin Islands_Hydrological,Number of Hydrological type Disasters in the country United States Virgin Islands
4979,DIS.VIR.MET,Number of Meteorological type Disasters in the country United States Virgin Islands
4980,Disaster_United States Virgin Islands_Geophysical,Number of Geophysical type Disasters in the country United States Virgin Islands
4981,Disaster_United States Virgin Islands_Transport,Number of Transport type Disasters in the country United States Virgin Islands
4982,Disaster_United States Virgin Islands_Industrial accident,Number of Industrial accident type Disasters in the country United States Virgin Islands
4983,Disaster_United States Virgin Islands_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country United States Virgin Islands
4984,Disaster_United States Virgin Islands_Biological,Number of Biological type Disasters in the country United States Virgin Islands
4985,Disaster_United States Virgin Islands_Climatological,Number of Climatological type Disasters in the country United States Virgin Islands
4986,Disaster_Netherlands Antilles_Hydrological,Number of Hydrological type Disasters in the country Netherlands Antilles
4987,DIS.ANT.MET,Number of Meteorological type Disasters in the country Netherlands Antilles
4988,Disaster_Netherlands Antilles_Geophysical,Number of Geophysical type Disasters in the country Netherlands Antilles
4989,DIS.ANT.TRA,Number of Transport type Disasters in the country Netherlands Antilles
4990,Disaster_Netherlands Antilles_Industrial accident,Number of Industrial accident type Disasters in the country Netherlands Antilles
4991,Disaster_Netherlands Antilles_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Netherlands Antilles
4992,Disaster_Netherlands Antilles_Biological,Number of Biological type Disasters in the country Netherlands Antilles
4993,Disaster_Netherlands Antilles_Climatological,Number of Climatological type Disasters in the country Netherlands Antilles
4994,Disaster_Dominica_Hydrological,Number of Hydrological type Disasters in the country Dominica
4995,DIS.DMA.MET,Number of Meteorological type Disasters in the country Dominica
4996,DIS.DMA.GEO,Number of Geophysical type Disasters in the country Dominica
4997,DIS.DMA.TRA,Number of Transport type Disasters in the country Dominica
4998,Disaster_Dominica_Industrial accident,Number of Industrial accident type Disasters in the country Dominica
4999,Disaster_Dominica_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Dominica
5000,Disaster_Dominica_Biological,Number of Biological type Disasters in the country Dominica
5001,Disaster_Dominica_Climatological,Number of Climatological type Disasters in the country Dominica
5002,DIS.SVN.HYD,Number of Hydrological type Disasters in the country Slovenia
5003,DIS.SVN.MET,Number of Meteorological type Disasters in the country Slovenia
5004,DIS.SVN.GEO,Number of Geophysical type Disasters in the country Slovenia
5005,DIS.SVN.TRA,Number of Transport type Disasters in the country Slovenia
5006,DIS.SVN.IND,Number of Industrial accident type Disasters in the country Slovenia
5007,Disaster_Slovenia_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Slovenia
5008,Disaster_Slovenia_Biological,Number of Biological type Disasters in the country Slovenia
5009,Disaster_Slovenia_Climatological,Number of Climatological type Disasters in the country Slovenia
5010,DIS.SVK.HYD,Number of Hydrological type Disasters in the country Slovakia
5011,DIS.SVK.MET,Number of Meteorological type Disasters in the country Slovakia
5012,Disaster_Slovakia_Geophysical,Number of Geophysical type Disasters in the country Slovakia
5013,DIS.SVK.TRA,Number of Transport type Disasters in the country Slovakia
5014,DIS.SVK.IND,Number of Industrial accident type Disasters in the country Slovakia
5015,DIS.SVK.MIS,Number of Miscellaneous accident type Disasters in the country Slovakia
5016,Disaster_Slovakia_Biological,Number of Biological type Disasters in the country Slovakia
5017,DIS.SVK.CLI,Number of Climatological type Disasters in the country Slovakia
5018,DIS.SYC.HYD,Number of Hydrological type Disasters in the country Seychelles
5019,DIS.SYC.MET,Number of Meteorological type Disasters in the country Seychelles
5020,DIS.SYC.GEO,Number of Geophysical type Disasters in the country Seychelles
5021,DIS.SYC.TRA,Number of Transport type Disasters in the country Seychelles
5022,DIS.SYC.IND,Number of Industrial accident type Disasters in the country Seychelles
5023,Disaster_Seychelles_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Seychelles
5024,DIS.SYC.BIO,Number of Biological type Disasters in the country Seychelles
5025,Disaster_Seychelles_Climatological,Number of Climatological type Disasters in the country Seychelles
5026,Disaster_Palau_Hydrological,Number of Hydrological type Disasters in the country Palau
5027,DIS.PLW.MET,Number of Meteorological type Disasters in the country Palau
5028,Disaster_Palau_Geophysical,Number of Geophysical type Disasters in the country Palau
5029,Disaster_Palau_Transport,Number of Transport type Disasters in the country Palau
5030,Disaster_Palau_Industrial accident,Number of Industrial accident type Disasters in the country Palau
5031,DIS.PLW.MIS,Number of Miscellaneous accident type Disasters in the country Palau
5032,DIS.PLW.BIO,Number of Biological type Disasters in the country Palau
5033,DIS.PLW.CLI,Number of Climatological type Disasters in the country Palau
5034,DIS.AZO.HYD,Number of Hydrological type Disasters in the country Azores Islands
5035,DIS.AZO.MET,Number of Meteorological type Disasters in the country Azores Islands
5036,DIS.AZO.GEO,Number of Geophysical type Disasters in the country Azores Islands
5037,DIS.AZO.TRA,Number of Transport type Disasters in the country Azores Islands
5038,Disaster_Azores Islands_Industrial accident,Number of Industrial accident type Disasters in the country Azores Islands
5039,Disaster_Azores Islands_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Azores Islands
5040,Disaster_Azores Islands_Biological,Number of Biological type Disasters in the country Azores Islands
5041,Disaster_Azores Islands_Climatological,Number of Climatological type Disasters in the country Azores Islands
5042,Disaster_British Virgin Islands_Hydrological,Number of Hydrological type Disasters in the country British Virgin Islands
5043,DIS.VGB.MET,Number of Meteorological type Disasters in the country British Virgin Islands
5044,Disaster_British Virgin Islands_Geophysical,Number of Geophysical type Disasters in the country British Virgin Islands
5045,Disaster_British Virgin Islands_Transport,Number of Transport type Disasters in the country British Virgin Islands
5046,Disaster_British Virgin Islands_Industrial accident,Number of Industrial accident type Disasters in the country British Virgin Islands
5047,Disaster_British Virgin Islands_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country British Virgin Islands
5048,Disaster_British Virgin Islands_Biological,Number of Biological type Disasters in the country British Virgin Islands
5049,Disaster_British Virgin Islands_Climatological,Number of Climatological type Disasters in the country British Virgin Islands
5050,DIS.GUF.HYD,Number of Hydrological type Disasters in the country French Guiana
5051,Disaster_French Guiana_Meteorological,Number of Meteorological type Disasters in the country French Guiana
5052,Disaster_French Guiana_Geophysical,Number of Geophysical type Disasters in the country French Guiana
5053,Disaster_French Guiana_Transport,Number of Transport type Disasters in the country French Guiana
5054,Disaster_French Guiana_Industrial accident,Number of Industrial accident type Disasters in the country French Guiana
5055,Disaster_French Guiana_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country French Guiana
5056,Disaster_French Guiana_Biological,Number of Biological type Disasters in the country French Guiana
5057,Disaster_French Guiana_Climatological,Number of Climatological type Disasters in the country French Guiana
5058,DIS.BIH.HYD,Number of Hydrological type Disasters in the country Bosnia and Herzegovina
5059,DIS.BIH.MET,Number of Meteorological type Disasters in the country Bosnia and Herzegovina
5060,DIS.BIH.GEO,Number of Geophysical type Disasters in the country Bosnia and Herzegovina
5061,DIS.BIH.TRA,Number of Transport type Disasters in the country Bosnia and Herzegovina
5062,Disaster_Bosnia and Herzegovina_Industrial accident,Number of Industrial accident type Disasters in the country Bosnia and Herzegovina
5063,Disaster_Bosnia and Herzegovina_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Bosnia and Herzegovina
5064,DIS.BIH.BIO,Number of Biological type Disasters in the country Bosnia and Herzegovina
5065,DIS.BIH.CLI,Number of Climatological type Disasters in the country Bosnia and Herzegovina
5066,DIS.KWT.HYD,Number of Hydrological type Disasters in the country Kuwait
5067,Disaster_Kuwait_Meteorological,Number of Meteorological type Disasters in the country Kuwait
5068,Disaster_Kuwait_Geophysical,Number of Geophysical type Disasters in the country Kuwait
5069,DIS.KWT.TRA,Number of Transport type Disasters in the country Kuwait
5070,Disaster_Kuwait_Industrial accident,Number of Industrial accident type Disasters in the country Kuwait
5071,DIS.KWT.MIS,Number of Miscellaneous accident type Disasters in the country Kuwait
5072,Disaster_Kuwait_Biological,Number of Biological type Disasters in the country Kuwait
5073,Disaster_Kuwait_Climatological,Number of Climatological type Disasters in the country Kuwait
5074,Disaster_Brunei Darussalam_Hydrological,Number of Hydrological type Disasters in the country Brunei Darussalam
5075,Disaster_Brunei Darussalam_Meteorological,Number of Meteorological type Disasters in the country Brunei Darussalam
5076,Disaster_Brunei Darussalam_Geophysical,Number of Geophysical type Disasters in the country Brunei Darussalam
5077,Disaster_Brunei Darussalam_Transport,Number of Transport type Disasters in the country Brunei Darussalam
5078,Disaster_Brunei Darussalam_Industrial accident,Number of Industrial accident type Disasters in the country Brunei Darussalam
5079,Disaster_Brunei Darussalam_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Brunei Darussalam
5080,Disaster_Brunei Darussalam_Biological,Number of Biological type Disasters in the country Brunei Darussalam
5081,DIS.BRN.CLI,Number of Climatological type Disasters in the country Brunei Darussalam
5082,DIS.PYF.HYD,Number of Hydrological type Disasters in the country French Polynesia
5083,DIS.PYF.MET,Number of Meteorological type Disasters in the country French Polynesia
5084,Disaster_French Polynesia_Geophysical,Number of Geophysical type Disasters in the country French Polynesia
5085,DIS.PYF.TRA,Number of Transport type Disasters in the country French Polynesia
5086,Disaster_French Polynesia_Industrial accident,Number of Industrial accident type Disasters in the country French Polynesia
5087,Disaster_French Polynesia_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country French Polynesia
5088,Disaster_French Polynesia_Biological,Number of Biological type Disasters in the country French Polynesia
5089,Disaster_French Polynesia_Climatological,Number of Climatological type Disasters in the country French Polynesia
5090,DIS.FSM.HYD,Number of Hydrological type Disasters in the country Micronesia (Federated States of)
5091,DIS.FSM.MET,Number of Meteorological type Disasters in the country Micronesia (Federated States of)
5092,Disaster_Micronesia (Federated States of)_Geophysical,Number of Geophysical type Disasters in the country Micronesia (Federated States of)
5093,Disaster_Micronesia (Federated States of)_Transport,Number of Transport type Disasters in the country Micronesia (Federated States of)
5094,Disaster_Micronesia (Federated States of)_Industrial accident,Number of Industrial accident type Disasters in the country Micronesia (Federated States of)
5095,Disaster_Micronesia (Federated States of)_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Micronesia (Federated States of)
5096,DIS.FSM.BIO,Number of Biological type Disasters in the country Micronesia (Federated States of)
5097,DIS.FSM.CLI,Number of Climatological type Disasters in the country Micronesia (Federated States of)
5098,DIS.SPI.HYD,Number of Hydrological type Disasters in the country Canary Islands
5099,DIS.SPI.MET,Number of Meteorological type Disasters in the country Canary Islands
5100,DIS.SPI.GEO,Number of Geophysical type Disasters in the country Canary Islands
5101,DIS.SPI.TRA,Number of Transport type Disasters in the country Canary Islands
5102,Disaster_Canary Islands_Industrial accident,Number of Industrial accident type Disasters in the country Canary Islands
5103,Disaster_Canary Islands_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Canary Islands
5104,Disaster_Canary Islands_Biological,Number of Biological type Disasters in the country Canary Islands
5105,DIS.SPI.CLI,Number of Climatological type Disasters in the country Canary Islands
5106,Disaster_New Caledonia_Hydrological,Number of Hydrological type Disasters in the country New Caledonia
5107,DIS.NCL.MET,Number of Meteorological type Disasters in the country New Caledonia
5108,Disaster_New Caledonia_Geophysical,Number of Geophysical type Disasters in the country New Caledonia
5109,Disaster_New Caledonia_Transport,Number of Transport type Disasters in the country New Caledonia
5110,Disaster_New Caledonia_Industrial accident,Number of Industrial accident type Disasters in the country New Caledonia
5111,Disaster_New Caledonia_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country New Caledonia
5112,DIS.NCL.BIO,Number of Biological type Disasters in the country New Caledonia
5113,Disaster_New Caledonia_Climatological,Number of Climatological type Disasters in the country New Caledonia
5114,DIS.PSE.HYD,Number of Hydrological type Disasters in the country State of Palestine
5115,DIS.PSE.MET,Number of Meteorological type Disasters in the country State of Palestine
5116,Disaster_State of Palestine_Geophysical,Number of Geophysical type Disasters in the country State of Palestine
5117,Disaster_State of Palestine_Transport,Number of Transport type Disasters in the country State of Palestine
5118,DIS.PSE.IND,Number of Industrial accident type Disasters in the country State of Palestine
5119,DIS.PSE.MIS,Number of Miscellaneous accident type Disasters in the country State of Palestine
5120,Disaster_State of Palestine_Biological,Number of Biological type Disasters in the country State of Palestine
5121,Disaster_State of Palestine_Climatological,Number of Climatological type Disasters in the country State of Palestine
5122,Disaster_Anguilla_Hydrological,Number of Hydrological type Disasters in the country Anguilla
5123,DIS.AIA.MET,Number of Meteorological type Disasters in the country Anguilla
5124,Disaster_Anguilla_Geophysical,Number of Geophysical type Disasters in the country Anguilla
5125,Disaster_Anguilla_Transport,Number of Transport type Disasters in the country Anguilla
5126,Disaster_Anguilla_Industrial accident,Number of Industrial accident type Disasters in the country Anguilla
5127,Disaster_Anguilla_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Anguilla
5128,Disaster_Anguilla_Biological,Number of Biological type Disasters in the country Anguilla
5129,Disaster_Anguilla_Climatological,Number of Climatological type Disasters in the country Anguilla
5130,DIS.LVA.HYD,Number of Hydrological type Disasters in the country Latvia
5131,DIS.LVA.MET,Number of Meteorological type Disasters in the country Latvia
5132,Disaster_Latvia_Geophysical,Number of Geophysical type Disasters in the country Latvia
5133,Disaster_Latvia_Transport,Number of Transport type Disasters in the country Latvia
5134,Disaster_Latvia_Industrial accident,Number of Industrial accident type Disasters in the country Latvia
5135,DIS.LVA.MIS,Number of Miscellaneous accident type Disasters in the country Latvia
5136,DIS.LVA.BIO,Number of Biological type Disasters in the country Latvia
5137,DIS.LVA.CLI,Number of Climatological type Disasters in the country Latvia
5138,DIS.KIR.HYD,Number of Hydrological type Disasters in the country Kiribati
5139,DIS.KIR.MET,Number of Meteorological type Disasters in the country Kiribati
5140,Disaster_Kiribati_Geophysical,Number of Geophysical type Disasters in the country Kiribati
5141,DIS.KIR.TRA,Number of Transport type Disasters in the country Kiribati
5142,Disaster_Kiribati_Industrial accident,Number of Industrial accident type Disasters in the country Kiribati
5143,Disaster_Kiribati_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Kiribati
5144,Disaster_Kiribati_Biological,Number of Biological type Disasters in the country Kiribati
5145,DIS.KIR.CLI,Number of Climatological type Disasters in the country Kiribati
5146,Disaster_Bermuda_Hydrological,Number of Hydrological type Disasters in the country Bermuda
5147,DIS.BMU.MET,Number of Meteorological type Disasters in the country Bermuda
5148,Disaster_Bermuda_Geophysical,Number of Geophysical type Disasters in the country Bermuda
5149,DIS.BMU.TRA,Number of Transport type Disasters in the country Bermuda
5150,Disaster_Bermuda_Industrial accident,Number of Industrial accident type Disasters in the country Bermuda
5151,Disaster_Bermuda_Miscellaneous accident,Number of Miscellaneous accident type Disasters in the country Bermuda
5152,Disaster_Bermuda_Biological,Number of Biological type Disasters in the country Bermuda
5153,Disaster_Bermuda_Climatological,Number of Climatological type Disasters in the country Bermuda
5154,Disaster_Equatorial Guinea_Hydrological,Number of Hydrological type Disasters in the country Equatorial Guinea
5155,Disaster_Equatorial Guinea_Meteorological,Number of Meteorological type Disasters in the country Equatorial Guinea
5156,Disaster_Equatorial Guinea_Geophysical,Number of Geophysical type Disasters in the country Equatorial Guinea
5157,DIS.GNQ.TRA,Number of Transport type Disasters in the country Equatorial Guinea
5158,Disaster_Equatorial Guinea_Industrial accident,Number of Industrial accident type Disasters in the country Equatorial Guinea
5159,DIS.GNQ.MIS,Number of Miscellaneous accident type Disasters in the country Equatorial Guinea
5160,DIS.GNQ.BIO,Number of Biological type Disasters in the country Equatorial Guinea
5161,Disaster_Equatorial Guinea_Climatological,Number of Climatological type Disasters in the country Equatorial Guinea
5162,DIS.SUR.HYD,Number of Hydrological type Disasters in the country Suriname
